property_id,lat,lng,addr_street,suburb,lga,closest_train_station_id,distance_to_closest_train_station,travel_min_to_MC,direct_journey_flag,30_sep_cases,last_14_days_cases,last_30_days_cases,last_60_days_cases
69163,-37.867786,145.038141,43 Hunter Street,MALVERN,BAW BAW,19944,0.79596,18,1,3,0,0,0
20665,-37.769375,144.952408,18 Brickworks Dve,BRUNSWICK,MARIBYRNONG,19968,0.65799,16,1,22,7,5,3
47142,-37.7148,145.1397,4 Cygnet Court,ELTHAM,FRANKSTON,19987,0.72864,52,1,3,3,2,1
61138,-37.78738,145.256897,10 Valkyrie Crescent,RINGWOOD,MACEDON RANGES,19878,2.26962,42,1,1,1,1,0
77213,-37.939381,145.10314,34 Merrigum Crescent,CLARINDA,BULOKE,19915,2.2382,31,1,0,0,0,0
3497,-37.817028,144.891625,4/42 Simpson st,YARRAVILLE,MITCHELL,19996,0.19825,Not available,0,14,5,3,1
50598,-37.756134,145.131731,6 Hakea Street,TEMPLESTOWE,MOUNT ALEXANDER,19986,4.63404,48,1,0,0,0,0
27423,-37.58481,144.93516,6 Princes Circuit,CRAIGIEBURN,YARRA RANGES,40221,2.02537,41,1,5,3,2,1
9427,-37.85576,144.72997,25 Glencoe Avenue,TRUGANINA,CENTRAL GOLDFIELDS,46468,2.19633,Not available,0,0,0,0,0
51678,-37.78168,145.119421,8 Inglis Court,DONCASTER,MORELAND,20042,4.18276,22,1,111,55,48,25
75990,-37.901759,145.099518,25 Heath Avenue,OAKLEIGH,WANGARATTA,19917,0.9967,26,1,0,0,0,0
96434,-38.002576,145.282736,11 George Chudleigh Drive,HALLAM,GLEN EIRA,19885,2.03505,50,1,15,4,2,1
16680,-37.702291,144.91834,184 Melbourne Avenue,GLENROY,WYNDHAM,20032,0.26869,28,1,99,45,34,20
75439,-37.899337,145.052535,74 Oakleigh Road,CARNEGIE,MELBOURNE,19941,1.21418,27,1,23,12,8,5
5253,-37.865286,144.824859,53 Romawi Street,ALTONA,BRIMBANK,19926,0.46885,Not available,0,77,36,21,12
26984,-37.59358,144.941766,45 Hamilton Street,CRAIGIEBURN,YARRA RANGES,40221,0.9271,41,1,5,3,2,1
6834,-37.793884,144.829296,54 Chapman St,SUNSHINE,KNOX,20021,0.67355,20,1,23,5,3,2
36145,-37.662195,145.029974,12 Luzon Court,LALOR,KINGSTON,20005,1.09183,51,1,13,4,2,1
10635,-37.788948,144.931612,5/2 Rankins Road,KENSINGTON,SOUTH GIPPSLAND,20040,0.29361,10,1,2,0,0,0
66773,-37.780782,145.341701,9 Tudor Drive,MOOROOLBARK,WEST WIMMERA,19877,2.61519,46,1,0,0,0,0
41601,-37.744648,145.084416,14 Scarborough Drive,HEIDELBERG,MONASH,19936,1.62073,36,1,16,5,3,2
24112,-37.716033,144.968339,19 Berry Street,FAWKNER,MONASH,19962,0.70409,28,1,16,5,3,2
65043,-37.799175,145.304747,1/18 Churchill Way,KILSYTH,SURF COAST,19877,1.74136,46,1,1,0,0,0
50009,-37.769536,145.087821,2 Marcellin Road,BULLEEN,MARIBYRNONG,19935,2.76172,34,1,22,7,5,3
90595,-37.962827,145.075299,354 Warrigal Road,CHELTENHAM,YARRA RANGES,19866,1.86934,40,1,5,3,2,1
55861,-37.839853,145.074892,63 Cooloongatta Road,CAMBERWELL,MELBOURNE,19850,0.46364,23,1,23,12,8,5
43506,-37.701888,145.083442,16 Dallas Crescent,WATSONIA NORTH,MOUNT ALEXANDER,19984,1.01012,42,1,0,0,0,0
26964,-37.59578,144.933151,44 Dianne Avenue,CRAIGIEBURN,YARRA RANGES,40221,1.12073,41,1,5,3,2,1
71103,-37.850327,145.233139,13 Chelsea Court,WANTIRNA,CENTRAL GOLDFIELDS,19871,2.64709,37,1,0,0,0,0
79468,-37.99168,145.185121,1 Haldane Street,KEYSBOROUGH,KINGSTON,19889,1.59895,42,1,13,4,2,1
